Scenario;TWh;2025;2030;2035;;
Ampère;Consommation France;466;472;483;;
Ampère;Echanges;105;109;134;;
Ampère;Pompage;5;6;9;;
Ampère;Energie déversée;0;2;9;;
Ampère;Demande totale;576;590;635;;
Ampère;Nucléaire;353;307;294;;
Ampère;Cycles combinés au gaz;24;23;17;;
Ampère;Charbon;0;0;0;;
Ampère;Turbines à combustion;0;0;0;;
Ampère;Cogénérations;11;10;9;;
Ampère;Autre thermique décentralisé;1;1;1;;
Ampère;Hydraulique;63;65;68;;
Ampère;Eolien;83;122;162;;
Ampère;Photovoltaïque;28;43;58;;
Ampère;Bioénergies;13;15;18;;
Ampère;Energies marines;0;2;9;;
Ampère;Offre totale;576;576;576;;
Ampère;Pourcentage EnR;33;43;53;;
Hertz;Consommation France;466;472;483;;
Hertz;Echanges;59;35;49;;
Hertz;Pompage;5;6;7;;
Hertz;Energie déversée;0;0;2;;
Hertz;Demande totale;530;513;541;;
Hertz;Nucléaire;316;256;252;;
Hertz;Cycles combinés au gaz;31;33;32;;
Hertz;Charbon;0;0;0;;
Hertz;Turbines à combustion;3;4;3;;
Hertz;Cogénérations;11;11;10;;
Hertz;Autre thermique décentralisé;1;1;1;;
Hertz;Hydraulique;64;63;65;;
Hertz;Eolien;68;96;117;;
Hertz;Photovoltaïque;24;33;43;;
Hertz;Bioénergies;12;14;15;;
Hertz;Energies marines;0;2;3;;
Hertz;Offre totale;530;513;541;;
Hertz;Pourcentage EnR;32;41;45;;
Volt;Consommation France;455;448;443;;
Volt;Echanges;134;152;159;;
Volt;Pompage;6;7;8;;
Volt;Energie déversée;0;1;3;;
Volt;Demande totale;595;608;614;;
Volt;Nucléaire;396;370;346;;
Volt;Cycles combinés au gaz;21;23;20;;
Volt;Charbon;0;0;0;;
Volt;Turbines à combustion;0;0;0;;
Volt;Cogénérations;10;5;3;;
Volt;Autre thermique décentralisé;1;1;1;;
Volt;Hydraulique;64;64;66;;
Volt;Eolien;68;96;117;;
Volt;Photovoltaïque;24;33;43;;
Volt;Bioénergies;12;14;15;;
Volt;Energies marines;0;2;3;;
Volt;Offre totale;595;608;614;;
Volt;Pourcentage EnR;28;34;40;;
Watt;Consommation France;439;423;410;;
Watt;Echanges;69;10;18;;
Watt;Pompage;4;6;10;;
Watt;Energie déversée;0;1;3;;
Watt;Demande totale;512;439;442;;
Watt;Nucléaire;280;127;48;;
Watt;Cycles combinés au gaz;30;42;57;;
Watt;Charbon;0;0;0;;
Watt;Turbines à combustion;1;3;3;;
Watt;Cogénérations;16;18;18;;
Watt;Autre thermique décentralisé;1;1;1;;
Watt;Hydraulique;61;65;68;;
Watt;Eolien;83;122;162;;
Watt;Photovoltaïque;28;43;58;;
Watt;Bioénergies;13;15;18;;
Watt;Energies marines;0;2;9;;
Watt;Offre totale;512;440;442;;
Watt;Pourcentage EnR;36;56;71;;
Ohm;Consommation France;466;;;;
Ohm;Echanges;78;;;;
Ohm;Pompage;4;;;;
Ohm;Energie déversée;0;;;;
Ohm;Demande totale;548;;;;
Ohm;Nucléaire;274;;;;
Ohm;Cycles combinés au gaz;60;;;;
Ohm;Charbon;14;;;;
Ohm;Turbines à combustion;1;;;;
Ohm;Cogénérations;11;;;;
Ohm;Autre thermique décentralisé;1;;;;
Ohm;Hydraulique;61;;;;
Ohm;Eolien;83;;;;
Ohm;Photovoltaïque;28;;;;
Ohm;Bioénergies;12;;;;
Ohm;Energies marines;0;;;;
Ohm;Offre totale;548;;;;
Ohm;Pourcentage EnR;34;;;;
